speaker,Disability,Youtube,IBM,zoom transcript,Ground true
Girl,down syndrome,and partners and team team mates and toll me she's my soul mate today makes me happy,"hander partners and team. Team. Mates. And soul mates. It's. He's my soul mate okay makes me happy
","and partners and teammates. Yes, totally. She's my soul mate. They makes me happy.","And partners, and team, team mates, and soul mates, she is my soul mate, she makes me happy, "
Mom,Neurotypical,you make me happy too what did you tell me today that you could do anything I'm going to,you make me happy to what did you tell me today that you could do anything,You make me happy. What did you tell me today that you could do anything.,"you make me happy too, what did you tell me today? that you could do anything..."
Girl,down syndrome,do anything I set my heart to,I can do anything I set my heart too,I can't do anything except my heart ,that i could do anything that I set my heart to
Mom,Neurotypical,yeah I asked her I said what why do you think this is successful and she goes,yeah I asked her I said well why do you think this is successful and she goes.,"Yeah, I asked her, I said what why do you think this is successful and she goes",Yesterday I asked her why do you think this is so succesful then she said...
Girl,down syndrome,I want to know if I can do anything I won I want now I'm stick to it,"I want to know. If I can do anything I want I want. Now and stick to it.

",I want to know if I can do anything I want. I want to stick to it.,"because I wanna know that I could do anything I want, then I will stick to it"
Interviewer,Neurotypical,is there anything else you want to say about your bracelets,Is there anything else you wanna say about your bracelets.,Is there anything else you want to say about your bracelets,Is there anything else you want to say about your bracelets.
Girl,down syndrome,they are very unique beautiful in astonishing what I do best is showing you what I do well at,"We are very unique. And. Beautiful and astonishing what I do best is showing you well I do well at.
","new I'm very unique.
Beautiful in establishing what I do best. This showing you what I do well.","They are very unique, beautiful, and astonishing. what I do best is showing you what I do well at.  "
Interviewer,Neurotypical,how do you feel when you see someone else wearing a bracelet you made,How do you feel when you see someone else wearing a bracelet you made,,How do you feel when you see someone else wearing a bracelet you made?
Girl,down syndrome,no it makes me feel happy with confidence and full of love and inside my heart,no makes me feel happy with top and so full of love inside my heart,,that makes me feel happy with the confidence and full of love inside my heart
Interviewer,Neurotypical,well I'm happy you found something that not only brings you income but keeps you happy it,well I'm happy you found something that not only brings you income what keeps you happy,,well I am happy you found something that not only brings you an income but keeps you happy
Girl,down syndrome,,yeah it does make me happy I guess I falling in the beat you,,it does make me happy because I finally met you
Interviewer,Neurotypical,,and I'm happy I get to meet you too.,,and I am happy I get to meet you too
Girl,down syndrome,,Wonderful.,,Wonderful
